Artist,Subgenre
!!!,"['alternative dance', 'dance rock', 'dance-punk', 'electronica', 'new rave', 'sacramento indie']"
!T.O.O.H.!,['technical grindcore']
"""14""",['swedish rock-and-roll']
"""Cats"" 1981 Original London Cast",['show tunes']
"""DEMONS""","['action rock', ""punk 'n' roll"", 'swedish garage rock']"
"""Puppy Dog Pals"" Cast","[""children's music"", ""preschool children's music""]"
"""Weird Al"" Yankovic","['comedy rock', 'comic', 'parody']"
#ANS,['dancehall mauricien']
#TUKS,['dancehall mauricien']
#ジューロック,"['alt-idol', 'idol rock', 'jirai kei']"
$NOT,"['aesthetic rap', 'cloud rap', 'florida rap', 'underground hip hop']"
$uicideboy$,"['cloud rap', 'dark trap', 'new orleans rap', 'underground hip hop']"
&ME,"['deep disco house', 'microhouse', 'minimal techno', 'organic house', 'tech house']"
'Legally Blonde' Greek Chorus,['show tunes']
'Til Tuesday,"['boston rock', 'new romantic', 'new wave', 'new wave pop', 'synthpop']"
(DOLCH),"['ambient black metal', 'doomgaze']"
(G)I-DLE,"['k-pop', 'k-pop girl group']"
(Hed) P.E.,"['alternative metal', 'industrial metal', 'nu metal', 'rap metal', 'rap rock']"
*NSYNC,"['boy band', 'dance pop', 'pop']"
+44,['pop punk']
-M-,"['chanson', 'french pop', 'french rock', 'nouvelle chanson francaise']"
...And Oceans,"['black metal', 'finnish black metal', 'finnish metal', 'industrial black metal', 'symphonic black metal']"
...And You Will Know Us by the Trail of Dead,"['double drumming', 'post-hardcore']"
...Bender,['post-grunge']
.Sinh,"['chillhop', 'lo-fi beats']"
009 Sound System,['dream trance']
01099,['german hip hop']
015B,"['classic k-pop', 'k-indie', 'korean electropop', 'korean pop']"
04 Limited Sazabys,"['anime rock', 'j-rock', 'japanese alternative rock']"
08,['abstract idm']
0comeups,"['deconstructed club', 'experimental electronic']"
1 Trait Danger,['comedy rap']
10 Ft. Ganja Plant,"['east coast reggae', 'reggae', 'reggae rock', 'roots reggae']"
10 String Symphony,['neo-traditional bluegrass']
10 Years,"['alternative metal', 'nu metal', 'post-grunge']"
"10,000 Maniacs","['ectofolk', 'lilith', 'new wave', 'new wave pop', 'pop rock', 'singer-songwriter']"
10-FEET,"['j-rock', 'japanese punk rock', 'japanese ska']"
100% Pure Poison,['rare groove']
1000 Homo DJs,"['industrial', 'industrial metal', 'industrial rock']"
1000mods,"['greek metal', 'greek psychedelic rock', 'greek rock', 'instrumental stoner rock', 'stoner metal', 'stoner rock']"
10Tik,"['dancehall', 'traphall']"
10cc,"['album rock', 'art rock', 'classic rock', 'folk rock', 'glam rock', 'mellow gold', 'new romantic', 'soft rock', 'symphonic rock', 'yacht rock']"
10cm,['korean pop']
10dens,['minimal melodic techno']
112,"['atl hip hop', 'boy band', 'contemporary r&b', 'r&b', 'urban contemporary']"
11:11 Music Group,['sad lo-fi']
11th Hour,"['rap metalcore', 'southern gospel']"
12 Rounds,['industrial rock']
12 Stones,"['alternative metal', 'christian hard rock', 'christian rock', 'nu metal', 'post-grunge']"
1200 Micrograms,['psychedelic trance']
123 Andrés,['cancion infantil latinoamericana']
123 Pikit!,"['pinoy pop punk', 'pinoy rock']"
127,"['gypsy punk', 'persian alternative', 'persian rock']"
12th Planet,"['brostep', 'dubstep']"
13,"['canadian electronic', 'dark clubbing']"
13 Block,"['french hip hop', 'pop urbaine', 'rap francais']"
13 Organisé,"['french hip hop', 'pop urbaine']"
1349,"['black metal', 'death metal', 'norwegian black metal', 'norwegian metal', 'technical black metal']"
13th Floor Elevators,"['acid rock', 'protopunk', 'psychedelic rock']"
14 Bis,"['mpb', 'pop rock brasileiro', 'rock mineiro', 'tropicalia']"
14 Iced Bears,"['c86', 'tape club']"
156/Silence,"['mathcore', 'metallic hardcore', 'pennsylvania hardcore']"
16 Horsepower,['gothic americana']
16BL,['progressive house']
16Volt,['industrial metal']
1782,"['heavy psych', 'italian doom metal']"
1788-L,"['brostep', 'dark clubbing', 'electro house']"
1910 Fruitgum Company,"['bubblegum pop', 'classic garage rock', 'merseybeat']"
1914,"['black metal', 'death doom', 'ukrainian metal']"
1919,"['corrosion', 'gothic rock']"
1PLIKÉ140,"['drill francais', 'french hip hop', 'pop urbaine', 'rap francais']"
1da Banton,"['afrobeats', 'nigerian pop']"
2 Best Enemies,['classic hardstyle']
2 Chainz,"['atl hip hop', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']"
2 Unlimited,"['eurodance', 'europop', 'hip house']"
2 minutos,"['argentine punk', 'argentine rock', 'latin alternative', 'ska argentino']"
20 Years of Age,"['k-indie', 'korean pop']"
20/20,"['power pop', 'underground power pop']"
200 Stab Wounds,['cavernous death metal']
2002,['new age']
20TOKENS,['russian emo rap']
20th Century Steel Band,['rare groove']
21 Savage,"['atl hip hop', 'hip hop', 'rap', 'trap']"
214,"['acid idm', 'electro', 'nu electro']"
220 KID,['uk dance']
22Gz,"['brooklyn drill', 'nyc rap']"
23 Skidoo,"['ambient industrial', 'experimental', 'experimental rock', 'industrial', 'post-punk', 'uk post-punk']"
24Herbs,"['cantopop', 'hong kong hip hop']"
24ldz,['christian afrobeat']
26時のマスカレイド,['j-idol']
27CLUB,['sad rap']
2Baba,"['afrobeats', 'afropop', 'nigerian pop']"
2NE1,"['dance pop', 'k-pop', 'k-pop girl group']"
2PM,"['k-pop', 'k-pop boy group']"
2Pac,"['g funk', 'gangster rap', 'hip hop', 'rap', 'west coast rap']"
2R,['cantopop']
2am,['k-pop']
2econd Class Citizen,['trip hop']
2methylBulbe1ol,['abstract idm']
2nd Bass,"['carnaval', 'nederlandse hardstyle']"
2nd Chapter Of Acts,"['deep christian rock', 'jesus movement']"
2nd Face,"['dark electro-industrial', 'electro-industrial']"
3 Caleb,['sad sierreno']
3 Doors Down,"['alternative metal', 'nu metal', 'post-grunge', 'rock']"
3 Hürel,"['anadolu rock', 'turkish psych', 'turkish rock']"
3 Inches Of Blood,"['canadian metal', 'speed metal', 'vancouver metal', 'vancouver punk']"
3 Na Bossa,['piano mpb']
3 Na Massa,"['brazilian indie', 'manguebeat', 'nova mpb']"
3 Pill Morning,['rap metalcore']
3 Steps Ahead,"['gabba', 'happy hardcore', 'hardcore techno']"
3030,"['brazilian hip hop', 'trap brasileiro']"
31 Minutos,"['chilean rock', 'ska chileno']"
311,"['alternative metal', 'funk metal', 'funk rock', 'nu metal', 'pop rock', 'rap rock', 'reggae fusion']"
32 Leaves,"['hard alternative', 'post-grunge']"
33EMYBW,"['chinese electronic', 'deconstructed club', 'fluxwork']"
34423,['japanese idm']
347aidan,['sad rap']
35007,"['dutch stoner rock', 'instrumental stoner rock', 'psychedelic space rock', 'space rock']"
36,"['ambient', 'compositional ambient', 'drift', 'drone', 'nu age', 'warm drone']"
36 Crazyfists,"['alaska indie', 'groove metal', 'melodic metalcore', 'metalcore', 'nu metal']"
38 Special,"['album rock', 'classic rock', 'country rock', 'glam metal', 'hard rock', 'mellow gold', 'rock', 'soft rock', 'southern rock']"
38 Spesh,"['boom bap', 'upstate ny rap']"
3B junior,"['idol rock', 'j-pop girl group']"
3D Corazones,['salsa choke']
3LAU,"['edm', 'electro house', 'mashup', 'pop dance', 'progressive electro house', 'progressive house']"
3MFrench,"['canadian hip hop', 'rap montrealais', 'toronto rap']"
3OH!3,"['dance pop', 'electropowerpop', 'pop punk', 'pop rap', 'post-teen pop']"
3TEETH,"['industrial metal', 'industrial rock']"
3nd,"['instrumental math rock', 'japanese math rock', 'japanese post-rock', 'math rock']"
3rd Secret,['grunge']
3rd Strike,"['rap metalcore', 'rap rock']"
4 Arm,"['new wave of thrash metal', 'thrash-groove metal']"
4 Strings,"['dutch trance', 'trance', 'vocal trance']"
4 Tune Fairytales,['happy hardcore']
40 Below Summer,"['groove metal', 'industrial metal', 'new jersey hardcore', 'nu metal', 'rap rock']"
40 Fingers,['acoustic guitar cover']
40 Thieves,"['balearic', 'nu disco']"
40mP,"['anime rock', 'vocaloid']"
44 MAGNUM,['japanese heavy metal']
44MAGNUM,['japanese heavy metal']
45 Grave,"['deathrock', 'gothic rock', 'horror punk']"
450,"['dancehall', 'traphall']"
4B,"['brostep', 'electro house', 'electronic trap']"
4Keus,"['french hip hop', 'pop urbaine', 'rap francais']"
4Kuba,"['breakbeat', 'psybreaks']"
4MEN,['korean pop']
4Minute,"['k-pop', 'k-pop girl group']"
4ever Falling,['emo rap']
4hero,"['broken beat', 'drum and bass', 'jazztronica', 'jungle', 'nu jazz', 'rave', 'trip hop']"
4i20,"['psychedelic trance', 'trance brasileiro']"
4lienetic,"['indian ambient', 'substep']"
4x4,"['afrobeats', 'azonto', 'hiplife']"
5 Chinese Brothers,['neo honky tonk']
5 Geschwister,['german ccm']
5 Seconds of Summer,"['boy band', 'pop']"
5 a Seco,"['nova mpb', 'rock curitibano']"
50 Cent,"['east coast hip hop', 'gangster rap', 'hip hop', 'pop rap', 'queens hip hop', 'rap']"
500,['deconstructed club']
51pegasus50,['gym hardstyle']
53 Thieves,['chill pop']
56 Hamburguesas,"['rockabilly en espanol', 'spanish rockabilly']"
5Forty2,['malaysian hip hop']
6 Doble 7,"['corridos tumbados', 'sad sierreno']"
6091,"['indian electronic', 'malayalam indie']"
616,['heavy gothic rock']
666,"['eurodance', 'german techno']"
666 ARMADA,['dancehall mauricien']
666ARMADA,['dancehall mauricien']
678NATH,['gospel drill']
6LACK,"['atl hip hop', 'melodic rap', 'r&b', 'rap', 'trap']"
6arssa,"['persian melodic rap', 'persian sad rap']"
6host,['emo rap']
6iant,['turkish trap pop']
6ix9ine,['emo rap']
6ixbuzz,"['canadian hip hop', 'toronto rap']"
6ixth Sense,['malaysian pop']
6o,['sad rap']
6obby,"['cloud rap', 'emo rap']"
6t6,['jamaican dancehall']
7 Minutoz,"['nerdcore brasileiro', 'rap geek']"
7 Seconds,"['crossover thrash', 'hardcore', 'hardcore punk', 'punk', 'straight edge']"
7 Skies,['uplifting trance']
7 Year Bitch,"['riot grrrl', 'underground grunge']"
7!!,"['anime rock', 'j-pixie', 'okinawan pop']"
700 Bliss,"['experimental club', 'experimental electronic']"
7000 Dying Rats,['grindcore']
7038634357,"['deconstructed club', 'experimental electronic', 'hypertrance']"
77 Jefferson,"['jawaiian', 'reggae rock']"
7777 の天使,['deconstructed club']
7Horse,['modern blues rock']
7and5,['new age']
